,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,vwap,Day_Perc_Change,Trend
0,MARUTI,EQ,2017-05-15,6730.2,6759.4,6839.1,6733.45,6824.0,6823.9,6796.84,336356,2286157837.9,31377,154743,46.01,5,2017,6796.84,0.0,Slight or No change
1,MARUTI,EQ,2017-05-16,6823.9,6850.0,6977.55,6830.0,6968.4,6953.95,6902.22,707624,4884173800.35,49047,360641,50.97,5,2017,6868.268013103699,1.90580166766805,Positive
2,MARUTI,EQ,2017-05-17,6953.95,6950.0,6979.0,6885.85,6945.0,6958.2,6931.6,445461,3087757535.3,65280,260033,58.37,5,2017,6887.209300616809,0.06111634394840859,Slight or No change
3,MARUTI,EQ,2017-05-18,6958.2,6918.3,6948.0,6814.45,6822.0,6831.05,6869.68,406814,2794683945.35,37063,188907,46.44,5,2017,6883.448643478857,-1.8273404041274977,Negative
4,MARUTI,EQ,2017-05-19,6831.05,6854.8,6893.9,6691.55,6756.3,6790.55,6791.6,552223,3750475037.3,64293,234662,42.49,5,2017,6862.733352817547,-0.5928810358583281,Slight negative
5,MARUTI,EQ,2017-05-22,6790.55,6803.95,6843.95,6689.25,6694.3,6701.7,6732.22,327493,2204755982.95,36146,158645,48.44,5,2017,6847.336142452497,-1.3084359882483798,Negative
6,MARUTI,EQ,2017-05-23,6701.7,6765.0,6910.0,6743.65,6867.95,6878.85,6855.36,956457,6556860387.15,98981,414258,43.31,5,2017,6849.392303942635,2.6433591476789475,Positive
7,MARUTI,EQ,2017-05-24,6878.85,6903.0,6912.55,6813.0,6865.0,6869.65,6863.75,433647,2976444464.5,48950,191595,44.18,5,2017,6850.8867973980305,-0.13374328557826942,Slight or No change
8,MARUTI,EQ,2017-05-25,6869.65,6879.95,7018.0,6835.0,6970.0,6985.7,6916.65,435721,3013729805.95,44648,177404,40.72,5,2017,6857.113585460981,1.689314593902158,Positive
9,MARUTI,EQ,2017-05-26,6985.7,6971.15,7085.05,6936.2,7068.05,7064.8,7049.7,373937,2636144373.95,30388,92677,24.78,5,2017,6871.586867305783,1.1323131540146303,Positive
10,MARUTI,EQ,2017-05-29,7064.8,7050.0,7197.8,7025.55,7144.0,7134.45,7130.02,427378,3047215056.0,46353,131172,30.69,5,2017,6892.028541627222,0.9858736269958035,Slight positive
11,MARUTI,EQ,2017-05-30,7134.45,7134.45,7206.6,7084.15,7138.05,7147.5,7136.66,403698,2881054388.05,34630,166452,41.23,5,2017,6909.035684531728,0.18291529129785822,Slight or No change
12,MARUTI,EQ,2017-05-31,7147.5,7138.0,7248.0,7134.95,7219.75,7211.0,7211.55,650259,4689375538.75,69023,355423,54.66,5,2017,6939.500387127718,0.8884225253585232,Slight positive
13,MARUTI,EQ,2017-06-01,7211.0,7242.0,7245.0,7110.1,7150.0,7146.6,7165.03,649217,4651660714.4,74481,276770,42.63,6,2017,6960.104353712242,-0.8930800166412345,Slight negative
14,MARUTI,EQ,2017-06-02,7146.6,7182.0,7187.7,7100.0,7110.6,7114.7,7135.0,310268,2213761589.2,33719,153510,49.48,6,2017,6967.421030662088,-0.446366104161422,Slight or No change
15,MARUTI,EQ,2017-06-05,7114.7,7139.8,7161.9,7091.1,7116.05,7125.7,7126.86,296147,2110599116.05,31551,137016,46.27,6,2017,6973.543059582247,0.15460947053282936,Slight or No change
16,MARUTI,EQ,2017-06-06,7125.7,7134.0,7154.3,7085.05,7118.95,7112.1,7110.16,324579,2307809562.65,45217,197591,60.88,6,2017,6979.060224023578,-0.19085844197762603,Slight or No change
17,MARUTI,EQ,2017-06-07,7112.1,7135.0,7225.0,7107.6,7198.0,7205.7,7189.75,518152,3725380789.55,44672,192737,37.2,6,2017,6991.82046121113,1.3160669844349604,Positive
18,MARUTI,EQ,2017-06-08,7205.7,7199.0,7274.95,7198.0,7260.0,7249.5,7231.51,426525,3084419776.25,56722,229606,53.83,6,2017,7003.202567795923,0.6078521170739926,Slight positive
19,MARUTI,EQ,2017-06-09,7249.5,7271.0,7480.9,7230.0,7474.9,7464.85,7384.15,1122640,8289742220.9,91222,395926,35.27,6,2017,7045.5265583136625,2.9705496930822806,Positive
